Category,Food,Key Bioactives (mg/g),TPC (mg GAE/g),Antioxidant Compounds (Functional Breakdown),Macros,Micros,Macros Health Effect,Fat Type (%),Specific Benefits,Health Tags,Ideal Preparation,Ideal Dosage,Maximiser,Potential health Impacts,Insulin Impact (GL),"Notes, Fermentation Effect",Notes / Traditional Wisdom,Modern Clinical Insight,Harmonal effects,Cite (PubMed),Book basis,Active Phytochemical Class (only for Herbs),Ayurvedic Energetics in plain English (Only for herbs),Clinical Synergy / Key Combinations (Only for herbs),Effect When Taken Before Food (Only for herbs),Effect When Taken After Food (Only for herbs),Circadian / Metabolic Phase,Neuroendocrine & Hormonal Synchrony,Basis(Leaf/Root) (only for herbs),Fatty Acid Breakdown (%) (only for Oil),Omega Profile (n-3/n-6 ratio) (only for Oil),Phenolic / Antioxidant Compounds (mg/g) (only for Oil),Ayurvedic Energetics & Lipid Function (only for Oil),Fatty Acid Composition (Detailed %) (only for Diary),CLA & SCFA Profile (mg/g or %) (only for Diary),Probiotic / Bioactive Peptide Insight (only for Diary),Fermentation Mechanism & Ayurvedic Parallel (only for Diary),Image
Dairy,Ghee (Clarified Butter),"Research basis: Butyric Acid (3-4%), CLA (Conjugated Linoleic Acid) (variable), Vitamins A, D, E, K2. Gen: Butyrate 2.0, CLA 2.5, Palmitic acid 25",Research basis: Trace (if prepared traditionally). Gen: 2.0–4.0; 2.0–4.0 (lipophilic antioxidants > vit E),"Research basis: Contains fat-soluble vitamins (A, E, K2) which act as antioxidants. Butyrate supports the integrity of the gut lining, reducing local inflammation. Gen: Fat-soluble antioxidants; butyrate supports gut lining; Fat-soluble antioxidant transfer, anti-inflammatory via SCFA",Research basis: Protein 0g; Fat 100g; Carb 0g; Fiber 0g. (Lactose and Casein removed).,"Research basis: Vit A (15%), Vit E (5%), Vit K (trace). (Varies with source). Gen: A 20.0%; E 15.0%","Research basis: Rich in Short-Chain Fatty Acids (SCFAs) like butyrate, which are used directly for energy. Supports absorption of fat-soluble nutrients. High smoke point. Gen: improves absorption of fat-soluble nutrients | Energy-dense; improves lipid absorption; stable fat","Research basis: SFA 65%; MUFA 30%; PUFA 5%. (Rich in SCFAs and MCFAs). Gen: SFA 65%, MUFA 30%, PUFA 5%","Research basis: Ghee is rich in Butyric Acid (SCFA) . Butyrate serves as the main fuel for colon cells , supporting gut barrier integrity and reducing intestinal inflammation . It also contains CLA (in grass-fed sources) , which may improve body composition. Ghee enhances the absorption of co-consumed nutrients and spices . Gen: Supports metabolism and immunity; Supports joint health, brain, and gut mucosa; Ghee (Clarified Butter) provides fiber and phytochemicals that activate Nrf2 and suppress NF‑κB signaling, enhancing antioxidant capacity and supporting metabolic health. &Supports metabolism and immunity; Ghee (Clarified Butter) provides phytochemicals and fiber that support antioxidant defenses, modulate inflammation (NF‑κB, Nrf2), and foster SCFA production improving metabolic health. &Supports joint health, brain, and gut mucosa","Research basis: Gut Health, Anti-inflammatory, High Smoke Point, Nutritive, Digestive Aid. ; Book basis: Healthy fat [why we get sick p.190]. Gen: 🫁 🦴 🧠","Research basis: Excellent for high-heat cooking (sautéing, roasting) due to high smoke point (≈250°C/482°F). Can be consumed directly or added to warm meals. Gen: Low-heat clarification; Clarify butter slowly on low heat until milk solids separate",Research basis: 1-2 teaspoons (5-10g) per meal. Use in moderation due to high saturated fat content. Gen: 1–2 tsp/day,"Research basis: Excellent carrier (Anupana) for herbs (e.g., turmeric, ashwagandha), enhancing their absorption and efficacy. Cooking vegetables in ghee improves vitamin uptake. Gen: Combine with turmeric or black pepper; Combine with turmeric, ashwagandha, or herbs for Rasayana; enhances fat-soluble nutrient delivery","Research basis: High in saturated fat and cholesterol . Overconsumption can negatively impact cholesterol profiles (↑LDL) in some individuals , particularly those with existing cardiovascular issues or sedentary lifestyles. Calorie-dense. Gen: Overconsumption or improper preparation of Ghee (Clarified Butter) may cause GI discomfort or reduced nutrient absorption; source quality affects safety.; Overconsumption or poor preparation of Ghee (Clarified Butter) may cause GI upset, allergen exposure, nutrient interactions, or increased contaminant risk depending on sourcing and processing.",Research basis: Very Low GL (0). Butyrate may improve insulin sensitivity indirectly via gut health improvement. ; Book basis: Low. Pure fat [why we get sick p.190]. Gen: Zero; Zero GL,"Research basis: N/A (Oil). Traditional preparation (cultured Ghee) involves fermentation of milk cream before clarification, which enhances flavor and SCFA content. Gen: Stable under moderate heat; Overheating destroys antioxidants; stable under moderate heat","Research basis: Ayurveda: Sweet (Madhura). Cooling (Sheeta Virya). Balances Vata and Pitta. Increases Kapha in excess. Considered the best oil; enhances Agni (digestion), Ojas (vitality), and memory (Medhya). Gen: Warming, unctuous, nourishing; Warming, unctuous, nourishing; strengthens Agni","Research basis: Modern research focuses on Ghee's unique fat profile. While high in saturated fat, its impact on heart health may differ from other saturated fats due to SCFAs and MCFAs. Studies suggest it may not raise LDL as much as butter when consumed moderately. CLA content is beneficial. ; Book basis: Described as a ""healthy fat"" choice [why we get sick p.190]. Gen: Supports mitochondrial energy and gut barrier; anti-inflammatory in moderation; Ghee’s CLA and butyrate support mitochondrial health and intestinal integrity; anti-inflammatory in moderation","Research basis: Supports insulin sensitivity via butyrate (promoting GLP-1 release). Provides substrate (cholesterol) for steroid hormone synthesis. Enhances satiety, stabilizing energy and potentially cortisol levels. Gen: Ghee (Clarified Butter) may indirectly influence insulin or cortisol dynamics via anti-inflammatory and metabolic modulation; no direct endocrine disruption expected.; Ghee (Clarified Butter) may indirectly affect insulin and stress hormones via impacts on glycemia, inflammation, and gut-derived signaling molecules.",Research basis: 1. PMC4586577 (Ayurveda/Metabolism). 2. PMC7353348 (Lipid profile impact). 3. PMC5944907 (Butyrate mechanisms). Gen: PMID 35194562 (2022),Gen: Phytotherapy; Food for Life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Research basis: SFA 65%; MUFA 30%; PUFA 5%. Gen: SFA 65%, MUFA 30%, PUFA 5%",Research basis: Variable; generally low in Omegas. Gen: Ω-3:Ω-6 = 1:10,"Research basis: Trace. Gen: CLA 2.5, Butyrate 2.0, Vit E 0.15","Research basis: Cooling potency. Highly lubricating (Snigdha). Enhances digestion (Deepana) when used appropriately. Nourishes tissues (Brimhana) and enhances vitality (Ojas). Gen: Warming, nourishing; builds Ojas","Research basis: Palmitic (C16:0) 25-30%; Stearic (C18:0) 10-15%; Myristic (C14:0) 8-12%; Oleic (C18:1) 20-25%. Gen: SFA 65%(butyric 4%), MUFA 30%(oleic 29%), PUFA 5%(CLA 2.5%)",Research basis: CLA 1-2% (grass-fed). Butyric Acid (C4:0) 3-4%. Rich in other SCFAs/MCFAs. Gen: CLA 2.5 mg/g; Butyrate 2.0 mg/g; Acetate 0.7 mg/g,Gen: No live probiotics; bioactive lipids enhance microbiome balance indirectly,"Research basis: If made from cultured butter (traditional), it involves LAB fermentation similar to yogurt, enhancing SCFA profile. Parallels 'Ghrita' preparation in Ayurveda, emphasizing transformation for enhanced Guna (properties). Gen: Clarification concentrates butyrate; parallels Ayurvedic sneha (unctuous) therapy enhancing Agni and Ojas",https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRY-FQCvXk-dZ1GsJyhCXZkSade2LKuTycA2Z-HPv7EeYnkgWIiJQ52IxOuk3PIFB6GsvCDB-f-Ubo1ENf_c3k0aT0-XjDUFjBpCzjNeMQVNiwJ3KI
Dairy,Brie (Soft-ripened),"Gen: Proteolytic peptides 1.8, CLA 1.0",Gen: 1.5–3.5 (peptides & surface mold metabolites),Gen: Surface-ripened molds produce unique antioxidants and flavor compounds; moderate peptide release,Gen: Protein 20.0 g; Fat 28.0 g,Gen: Ca 50.0%; B 12.0%,Gen: easily digested by some due to surface enzyme activity; Creamy texture,"Gen: SFA 66%, MUFA 29%, PUFA 5%","Gen: Soft, spreadable, pairing with fruit and nuts; Brie (Soft-ripened) contains phytonutrients and fibers that enhance antioxidant capacity, modulate inflammation via Nrf2/NF‑κB pathways, and improve metabolic efficiency. &Soft, spreadable, pairing with fruit and nuts",Book basis: Fermented [Food for life- Tim spector p.304]. Gen: 🧴 🦴,Gen: Age 4–8 weeks; keep refrigerated,Gen: 20–40 g,Gen: Pair with fruit preserves or nuts to balance fats and sugars,Gen: Overconsumption or inadequate preparation of Brie (Soft-ripened) may cause GI upset or nutrient imbalance; contamination and storage quality influence safety.,Gen: Very Low,Gen: Surface molds (Penicillium camemberti) produce proteases altering texture and bioactives,"Gen: Nourishing, softening; traditionally used for delicate constitution","Book basis: Contains microbes, particularly in the rind [Food for life- Tim spector p.304].",Gen: Brie (Soft-ripened) may influence insulin and cortisol regulation indirectly through antioxidant and anti-inflammatory mechanisms; no direct endocrine disruption expected.,Gen: PMID TBD,Gen: Food for Life; Plant Medicine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gen: CLA 1.0 mg/g; Butyrate 0.8 mg/g,Book basis: The rind is a living layer of fungi and bacteria [Food for life- Tim spector p.304]. Gen: Surface molds + lactic starters; peptides and unique mold metabolites,"Book basis: Mechanism: Moulds (Penicillium camemberti or brie) are sprayed on the surface. They break down proteins from the outside in, creating the soft texture [Food for life- Tim spector p.304]. Ayurvedic Parallel: (Not specified in files) Gen: Surface ripening enzymes and molds alter proteins and lipids, producing unique bioactives and softer textures",https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcT_lnDD0BP-2fLrUHn8Vd2t41wpCNMfs92CPCIYVDpLBuQl4nA00oos2RlX5uTv9hBVWV38EPY1qBaHMkOOIgkm0QGZtyY7TvyDYO1XVw5x8gQ4EGg
Dairy,Buffalo Milk,"Gen: CLA 1.3, Palmitic acid 26, Butyrate 0.5",Gen: 1.0–2.0 (peptides > vit E),Gen: Higher antioxidant lipids and vitamins; richer fat-soluble nutrients,Gen: Protein 4.3 g; Fat 7.0 g,Gen: Ca 28.0%; A 30.0%; B 12.0%,Gen: rich in CLA and antioxidants; High energy,"Gen: SFA 70%, MUFA 25%, PUFA 5%","Gen: Muscle and strength support, improves bone density; Buffalo Milk provides phytochemicals and fiber that support antioxidant defenses, modulate inflammation (NF‑κB, Nrf2), and foster SCFA production improving metabolic health. &Muscle and strength support, improves bone density",Gen: 🦾 🦴 ❤️,Gen: Consume warm; suitable for growing individuals,Gen: 150–200 mL/day,Gen: Combine with honey or saffron for Rasayana effect,"Gen: Overconsumption or poor preparation of Buffalo Milk may cause GI upset, allergen exposure, nutrient interactions, or increased contaminant risk depending on sourcing and processing.",Gen: Medium (GL ~30 per 250 mL),Gen: Fermentation increases CLA and antioxidants,"Gen: Warming, heavy, strengthens body and builds Ojas",Gen: High CLA and SFA content supports energy metabolism; excessive intake may raise LDL,"Gen: Buffalo Milk may indirectly affect insulin and stress hormones via impacts on glycemia, inflammation, and gut-derived signaling molecules.",Gen: PMID 35724512 (2021),Gen: Food for Life; Phytotherapy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 70%(palmitic 26%, butyric 3%), MUFA 25%(oleic 22%), PUFA 5%(CLA 1.3%)",Gen: CLA 1.3 mg/g; Butyrate 0.5 mg/g,"Gen: Lactococcus, Lactobacillus in fermented versions","Gen: Fermentation reduces heaviness, aids digestion; balances Kapha by introducing mild acidity",
Dairy,Buttermilk (Churned from curd),"Gen: Lactic acid 1.5, Butyrate 0.8, CLA 1.2",Gen: 2.0–4.0 (fermentation-derived phenolics),Gen: Lactic acid antioxidant; probiotic reduces intestinal inflammation,Gen: Protein 3.0 g; Fat 1.0 g,Gen: Ca 12.0%; B 12.0%; K 2.0%,Gen: Low-fat probiotic beverage; supports gut health,"Gen: SFA 55%, MUFA 35%, PUFA 10%","Gen: Improves digestion, lowers cholesterol, cooling beverage; Buttermilk (Churned from curd) provides phytochemicals and fiber that support antioxidant defenses, modulate inflammation (NF‑κB, Nrf2), and foster SCFA production improving metabolic health. &Improves digestion, lowers cholesterol, cooling beverage",Gen: 💩 ❤️,"Gen: Churn curd, remove butter, consume fresh",Gen: 150–250 mL/day,"Gen: Combine with cumin, ginger, or curry leaves for carminative aid","Gen: Overconsumption or poor preparation of Buttermilk (Churned from curd) may cause GI upset, allergen exposure, nutrient interactions, or increased contaminant risk depending on sourcing and processing.",Gen: Low (GL ~3 per 100 mL),"Gen: Fermentation produces L-lactic acid and SCFA, improves digestibility","Gen: Cooling, digestive, balances Pitta and Kapha",Gen: Buttermilk probiotics support gut microbiota and lipid metabolism,"Gen: Buttermilk (Churned from curd) may indirectly affect insulin and stress hormones via impacts on glycemia, inflammation, and gut-derived signaling molecules.",Gen: PMID 36545210 (2023),Gen: Food for Life; Phytotherapy; Herbs.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 55%(butyric 3%), MUFA 35%(oleic 31%), PUFA 10%(CLA 1.2%)",Gen: CLA 1.2 mg/g; Butyrate 0.8 mg/g; Acetate 0.6 mg/g,"Gen: Lactococcus lactis, Leuconostoc, Lactobacillus fermentum; peptides like glycomacropeptide","Gen: Fermentation increases SCFA and probiotic metabolites; aligns with Ayur concept of light, cooling digestive balance (Pitta pacification)",https://swayampaaka.com/wp-content/uploads/2016/03/768px-Churning_curds.jpg
Dairy,"Cheese (Aged, Cheddar)","Gen: CLA 1.0, Butyrate 0.9, Tyramine 0.2",Gen: 2.0–3.0 (lipophilic antioxidants > peptides),Gen: Aging produces peptides with antioxidant and antihypertensive effects,Gen: Protein 25.0 g; Fat 33.0 g,Gen: Ca 70.0%; A 40.0%; B 12.0%,Book basis: Contains beneficial microbes [Food for life- Tim spector p.303]. Source of protein and fat [why we get sick p.189]. Gen: satiating and bone-supportive; High protein and fat,"Gen: SFA 70%, MUFA 25%, PUFA 5%","Gen: Bone density, probiotic effect in aged types; Cheese (Aged, Cheddar) contains phytonutrients and fibers that enhance antioxidant capacity, modulate inflammation via Nrf2/NF‑κB pathways, and improve metabolic efficiency. &Bone density, probiotic effect in aged types",Book basis: Fermented [Food for life- Tim spector p.303]. Gen: 🦴 🧠,"Book basis: Eat as a snack or part of a meal [Food for life- Tim spector p.306]. Best if unpasteurized, artisanal [Food for life- Tim spector p.304]. Gen: Ripen 2–6 months at 8–12°C",Gen: 20–40 g/day,Gen: Pair with fruit for balance; avoid heating excessively,"Gen: Overconsumption or inadequate preparation of Cheese (Aged, Cheddar) may cause GI upset or nutrient imbalance; contamination and storage quality influence safety.","Book basis: Low [why we get sick p.189]. Cheese is mostly fat and protein, with little or no lactose [why we get sick p.189]. Gen: Very Low (GL ~0.5)",Book basis: Fermentation by microbes and enzymes transforms milk into a long-lasting food [Food for life- Tim spector p.303]. Gen: Fermentation produces peptides and CLA,"Gen: Warming, heavy, nourishing; increases Ojas in moderation","Book basis: Aged hard cheeses (Cheddar, Parmesan, Gruyère, Manchego) are rich in beneficial microbes [Food for life- Tim spector p.304-305]. Gen: Aged cheese peptides support cardiovascular and gut health; moderate intake recommended","Gen: Cheese (Aged, Cheddar) may influence insulin and cortisol regulation indirectly through antioxidant and anti-inflammatory mechanisms; no direct endocrine disruption expected.",Gen: PMID 36094733 (2022),Gen: Phytotherapy; Food for Life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 70%(palmitic 25%), MUFA 25%(oleic 23%), PUFA 5%(CLA 1.0%)",Gen: CLA 1.0 mg/g; Butyrate 0.9 mg/g; Acetate 0.6 mg/g,"Book basis: Contains helpful microbes [Food for life- Tim spector p.303], especially in aged, unpasteurized, hard cheeses [Food for life- Tim spector p.304]. Some LAB can break down proteins into amino acids [The noma guide p.612]. Gen: Lactobacillus helveticus, Streptococcus thermophilus; peptides IPP, VPP, casokinins","Book basis: Mechanism: Starter cultures (bacteria) are added to milk, converting lactose to lactic acid [Food for life- Tim spector p.303; The noma guide p.612]. Rennet (an enzyme) is added to curdle the casein [Food for life- Tim spector p.303]. The curds are separated from whey, pressed, and aged [Food for life- Tim spector p.303]. Ayurvedic Parallel: (Not specified in files) Gen: Fermentation creates bioactive peptides (Agni support) and converts lactose → lactic acid, easing digestion",https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRJJmYvoVViZotwT6ZAGwBWw7RE7Aa4Jp_E8mgvPiPV4Po6muuA0ROVFbtTLwtTDrkYu6m3eNZqhD8G59LaQ2nw_ih3e5ZK-Q0SKMKCIpewSskAkC0
Dairy,Feta (Brined),"Gen: Brine-derived peptides 1.1, CLA 0.8, Proline-rich peptides 0.9",Gen: 1.2–2.8 (peptides > brine-mineral extracts),Gen: Brining and fermentation produce peptides with antioxidant and antihypertensive properties,Gen: Protein 14.0 g; Fat 21.0 g,Gen: Ca 50.0%,Gen: good for salads and cooking; crumbly; Tangy,"Gen: SFA 68%, MUFA 27%, PUFA 5%","Gen: Salted brine increases shelf-stability and flavor; Feta (Brined) contains phytonutrients and fibers that enhance antioxidant capacity, modulate inflammation via Nrf2/NF‑κB pathways, and improve metabolic efficiency. &Salted brine increases shelf-stability and flavor",Gen: 🦴 🧴,Gen: Store in brine; consume as part of salads or cooked dishes,Gen: 30–50 g,Gen: Pair with vegetables and olive oil to reduce sodium impact,Gen: Overconsumption or inadequate preparation of Feta (Brined) may cause GI upset or nutrient imbalance; contamination and storage quality influence safety.,Gen: Very Low,Gen: Brining increases mineral content and affects peptide profile; high salt requires moderation,"Gen: Cooling, saline, used for digestive tonics in small amounts",Gen: Brined cheeses show distinct peptide profiles and mineral extraction from brine,Gen: Feta (Brined) may influence insulin and cortisol regulation indirectly through antioxidant and anti-inflammatory mechanisms; no direct endocrine disruption expected.,Gen: PMID TBD,Gen: Food for Life; Phytotherapy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 68%, MUFA 27%, PUFA 5%",Gen: CLA 0.8 mg/g; Butyrate 0.6 mg/g,"Gen: Lactococcus, halotolerant strains; peptides from proteolysis in brine","Book basis: Mechanism: A brined cheese, meaning it is cured in a salt-water solution (brine) after being curdled and pressed [Food for life- Tim spector p.113]. Ayurvedic Parallel: (Not specified in files) Gen: Brine fermentation and salt extraction modify peptide and mineral availability; viewed as preserving and stabilizing in traditional systems",https://cheesemaking.com/cdn/shop/products/feta-cheese-making-recipe-442412.jpg?v=1744671773&width=800
Dairy,Fresh Mozzarella,"Gen: Lactose fermentation peptides 1.0, CLA 0.9",Gen: 1.5–3.0 (peptides > minor phenolics),Gen: Mild antioxidant peptides from fermentation; high moisture matrix supports probiotic survival in fresh forms,Gen: Protein 18.0 g; Fat 22.0 g,Gen: Ca 45.0%; B 12.0%,Gen: high-moisture protein source; good for recipes; Soft,"Gen: SFA 65%, MUFA 30%, PUFA 5%","Gen: Melts well; lower salt than many aged cheeses; Fresh Mozzarella contains phytonutrients and fibers that enhance antioxidant capacity, modulate inflammation via Nrf2/NF‑κB pathways, and improve metabolic efficiency. &Melts well; lower salt than many aged cheeses",Gen: 🧴 🦾 🦴,Gen: Use fresh; store cold and consume within days,Gen: 50–100 g,Gen: Pair with tomatoes (vit C) to boost iron uptake; fresh herbs add polyphenols,Gen: Overconsumption or inadequate preparation of Fresh Mozzarella may cause GI upset or nutrient imbalance; contamination and storage quality influence safety.,Gen: Low,Gen: High moisture; minimal aging → active lactococci peptides present,"Gen: Nourishing, cooling, easy to digest when fresh",Gen: Good protein and calcium source; less peptide maturation than aged varieties,Gen: Fresh Mozzarella may influence insulin and cortisol regulation indirectly through antioxidant and anti-inflammatory mechanisms; no direct endocrine disruption expected.,Gen: PMID TBD,Gen: Food for Life; Phytotherapy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 65%(butyric ~4%), MUFA 30%(oleic ~28%), PUFA 5%",Gen: CLA 0.9 mg/g; Butyrate 0.7 mg/g,"Gen: Lactococcus spp., Streptococcus thermophilus in fresh curd; glycomacropeptide present","Book basis: Mechanism: A fresh, un-aged cheese. Typically made by stretching curds (pasta filata method) that were formed by adding rennet and starter cultures to milk [Food for life- Tim spector p.113]. Ayurvedic Parallel: (Not specified in files) Gen: Short lactic fermentation yields peptides and reduces lactose; aligns with gentle Agni support",https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRVWnnGlrf5VcQBd7oYwOwKekVF0U8WCWPjeGTZfzt4nYZSFN1ahNo3WHCBXiqIRdcswV_Odp7CmxjGRG3uZlN3KP2zAK4uBgtzL2IbjJYFvDgWY9o
Dairy,Goat Milk,"Gen: CLA 1.0, Butyrate 0.9, Capric acid 1.1",Gen: 1.5–2.5 (peptides > phenolics),Book basis: Contains 100% A2 protein [Food for life- Tim spector p.110]. Gen: Antioxidant peptides and SCFA; medium-chain fatty acids increase metabolism,Gen: Protein 3.2 g; Fat 4.0 g,Gen: Ca 25.0%; B 2.0%; P 18.0%,Gen: smaller fat globules enhance absorption; Easily digestible,"Gen: SFA 60%, MUFA 30%, PUFA 10%","Book basis: May be easier to digest for some [Food for life- Tim spector p.110]. Gen: Hypoallergenic, suitable for mild lactose intolerance; Goat Milk provides phytochemicals and fiber that support antioxidant defenses, modulate inflammation (NF‑κB, Nrf2), and foster SCFA production improving metabolic health. &Hypoallergenic, suitable for mild lactose intolerance",Gen: 🫁 🦴 🧠,Gen: Warm consumption preferable; avoid overboiling,Gen: 150–250 mL/day,Gen: Combine with turmeric or dates for energy; fermentation yields mild kefir-like effect,"Gen: Overconsumption or poor preparation of Goat Milk may cause GI upset, allergen exposure, nutrient interactions, or increased contaminant risk depending on sourcing and processing.",Gen: Medium (GL ~26 per 250 mL),Book basis: Used to make kefir [Food for life- Tim spector p.301]. Gen: Fermentation increases SCFA; maintains high digestibility,"Gen: Cooling, light, enhances Agni without heaviness",Gen: Studies show goat milk improves lipid metabolism and calcium absorption,"Gen: Goat Milk may indirectly affect insulin and stress hormones via impacts on glycemia, inflammation, and gut-derived signaling molecules.",Gen: PMID 36012274 (2022),Gen: Food for Life; Phytotherapy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 60%(capric 10%, butyric 5%), MUFA 30%(oleic 25%), PUFA 10%(CLA 1.0%)",Gen: CLA 1.0 mg/g; Butyrate 0.9 mg/g; Capric 1.1 mg/g,Book basis: Has slightly different fatty acid profiles than cow's milk [Food for life- Tim spector p.110]. Some goat's milk products (like goat's cheese) contain helpful probiotics [Food for life- Tim spector p.110]. Gen: Native lactobacilli low; fermented versions contain Lactococcus and Bifidobacterium,"Book basis: (See Milk / Cheese) Gen: Fermentation enhances calcium bioavailability and digestive comfort; light, cooling effect matches Pitta pacification",https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcR7tYFIV6y0BvXRMsak9c67Spm-cIylUEzXLgrzoHedq1cLY5zfBHHGbNYTpd6uT6UiZE3mwF5pZL7Wfit119966lH5eU7DQpViXnSZDKLq340utxg
Dairy,Gorgonzola (Blue),"Gen: Blue mold peptides 2.1, CLA 1.2",Gen: 2.0–4.0 (mold metabolites > peptides),Gen: Similar to Roquefort; mold metabolism increases free fatty acids and peptides,Gen: Protein 21.0 g; Fat 31.0 g,Gen: Ca 60.0%; B 12.0%,Gen: used in small amounts for flavor; creamy; Rich,"Gen: SFA 69%, MUFA 26%, PUFA 5%","Gen: Savory, pungent; good for sauces; Gorgonzola (Blue) contains phytonutrients and fibers that enhance antioxidant capacity, modulate inflammation via Nrf2/NF‑κB pathways, and improve metabolic efficiency. &Savory, pungent; good for sauces",Book basis: Fermented [Food for life- Tim spector p.304]. Gen: 🧴 🧠,Gen: Age and pierce to allow mold growth; serve small portions,Gen: 10–20 g,Gen: Pair with pear or fig to balance salt and fat,Gen: Overconsumption or inadequate preparation of Gorgonzola (Blue) may cause GI upset or nutrient imbalance; contamination and storage quality influence safety.,Gen: Very Low,Gen: Mold lipolysis and proteolysis concentrate flavor and bioactives,Gen: Mold ripening increases free fatty acids and peptides with potential bioactivity,Book basis: (See Roquefort) [Food for life- Tim spector p.304].,Gen: Gorgonzola (Blue) may influence insulin and cortisol regulation indirectly through antioxidant and anti-inflammatory mechanisms; no direct endocrine disruption expected.,Gen: PMID TBD,Gen: Plant Medicine; Phytotherapy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gen: CLA 1.2 mg/g; Butyrate 1.0 mg/g,"Book basis: (See Roquefort) [Food for life- Tim spector p.304]. Gen: Penicillium spp., ripening bacteria; peptides and lipolysis products",Book basis: (See Roquefort) Gen: Blue mold enzymatic activity liberates fatty acids and peptides; traditional uses view as warming and stimulating,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRaDpF0y2Jx3xXxz6P4t8GGVIxolCKuSBWMsTLs2gRbEEXWZqtvN4IAripMlt-sEVrkCKw1ie4q2WpxeyFZE7mm1mJGhK0iRzCnLgfMBdUvTsKsgUc
Dairy,Gouda (Aged),"Gen: Mature peptides 2.2, CLA 1.1",Gen: 2.0–4.0 (aged peptides > lipids),Gen: Aging yields peptides and increases antioxidant capacity; buttery flavor notes,Gen: Protein 25.0 g; Fat 31.0 g,Gen: Ca 65.0%; B 12.0%,Gen: versatile cooking cheese; mineral-rich; Satiating,"Gen: SFA 68%, MUFA 27%, PUFA 5%","Gen: Good melting properties and flavor depth; Gouda (Aged) contains phytonutrients and fibers that enhance antioxidant capacity, modulate inflammation via Nrf2/NF‑κB pathways, and improve metabolic efficiency. &Good melting properties and flavor depth",Book basis: Fermented [Food for life- Tim spector p.304]. Gen: 🦾 🦴,Gen: Age 6–18 months for mature flavor,Gen: 20–40 g,Gen: Pair with fiber and fruits; aging increases peptide bioactivity,Gen: Overconsumption or inadequate preparation of Gouda (Aged) may cause GI upset or nutrient imbalance; contamination and storage quality influence safety.,Gen: Very Low,Gen: Proteolysis during aging increases peptide antioxidant effects,"Gen: Warming, strengthening, supports Agni in small amounts",Gen: Aged Gouda shows peptide-related bioactivities similar to other hard cheeses,Gen: Gouda (Aged) may influence insulin and cortisol regulation indirectly through antioxidant and anti-inflammatory mechanisms; no direct endocrine disruption expected.,Gen: PMID TBD,Gen: Food for Life; Phytotherapy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gen: SFA 68%, MUFA 27%, PUFA 5%",Gen: CLA 1.1 mg/g; Butyrate 0.9 mg/g,Gen: Starter cultures and ripening microbiota produce peptides IPP/VPP,"Book basis: (See 'Cheese (Aged, Cheddar)') Gen: Ripening proteolysis increases bioactive peptides and mineral density",https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSsaLE_4UHmEvt74LQFzE18ZqGxAo1gyeOuGcI1ay9rbnc4MBAdOMzq9QAvApwDhLo37E31HjvH0DEL2XwiOzFV9sXeWfnJyEKTDYnwcOoIemnpb8Q
